brand_id,brand_name,brand_maker,brand_active,brand_sts
,COOPER CLUBMAN,38,,
,COOPER CLUBMAN HAMPTON,38,,
,COOPER CONVERTIBLE,38,,
,COOPER CONVERTIBLE HIGHGATE,38,,
,COOPER CONVERTIBLE SIDEWALK,38,,
,COOPER COUPE,38,,
,COOPER CROSSOVER,38,,
,COOPER CROSSOVER ALL 4,38,,
,COOPER CROSSOVER VALENTINE ROAD,38,,
,COOPER CRYSTAL,38,,
,COOPER D,38,,
,COOPER D 60 YEARS EDITION,38,,
,COOPER D CLUBMAN,38,,
,COOPER D CROSSOVER,38,,
,COOPER D CROSSOVER ALL4,38,,
,COOPER D CROSSOVER ALL4 PARK LANE,38,,
,COOPER D CROSSOVER PARK LANE,38,,
,COOPER D ICE BLUE,38,,
,COOPER D PACEMAN,38,,
,COOPER D SEVEN,38,,
,COOPER D SOUTHWARK,38,,
,COOPER ICE BLUE,38,,
,COOPER PACEMAN,38,,
,COOPER PACEMAN ALL 4,38,,
,COOPER PARK LANE,38,,
,COOPER ROADSTER,38,,
,COOPER S,38,,
,COOPER S 60 YEARS EDITION,38,,
,COOPER S BAYSWATER,38,,
,COOPER S CHECKMATE,38,,
,COOPER S CLUBMAN,38,,
,COOPER S CLUBMAN ALL4,38,,
,COOPER S CLUBMAN HAMPTON,38,,
,COOPER S CONVERTIBLE,38,,
,COOPER S CONVERTIBLE HIGHGATE,38,,
,COOPER S CONVERTIBLE SIDEWALK,38,,
,COOPER S COUPE,38,,
,COOPER S CROSSOVER,38,,
,COOPER S CROSSOVER ALL4,38,,
,COOPER S CROSSOVER ALL4 MARINE,38,,
,COOPER S CROSSOVER ALL4 PARK LANE,38,,
,COOPER S CROSSOVER ALL4 SUNLIGHT,38,,
,COOPER S CROSSOVER BLACKHEATH,38,,
,COOPER S CROSSOVER VALENTINE ROAD,38,,
,COOPER S CRYSTAL,38,,
,COOPER S E CROSSOVER ALL4,38,,
,COOPER S PACEMAN,38,,
,COOPER S PACEMAN ALL4,38,,
,COOPER S PARK LANE,38,,
,COOPER S ROADSTER,38,,
,COOPER S SEVEN,38,,
,COOPER S WITH JOHN COOPER WORKS GP KIT,38,,
,COOPER SD,38,,
,COOPER SD 60 YEARS EDITION,38,,
,COOPER SD CLUBMAN,38,,
,COOPER SD CROSSOVER,38,,
,COOPER SD CROSSOVER ALL4,38,,
,COOPER SD CROSSOVER BLACK KNIGHT,38,,
,COOPER SD CROSSOVER MARINE,38,,
,COOPER SD CROSSOVER PARK LANE,38,,
,COOPER SD CROSSOVER SUNLIGHT,38,,
,COOPER SD SEVEN,38,,
,COOPER SEVEN,38,,
,COOPER SOUTHWARK,38,,
,CROSSOVER BUCKINGHAM,38,,
,CROSSOVER NORFOLK EDITION,38,,
,D,38,,
,DESIGNERS CHOICE,38,,
,I,38,,
,ICE BLUE BLACK EDITION,38,,
,ICE BLUE EDITION,38,,
,INSPIRED BY GOODWOOD,38,,
,J,38,,
,JERMYN COOPER S,38,,
,JOHN COOPER WORKS,38,,
,JOHN COOPER WORKS CLUBMAN,38,,
,JOHN COOPER WORKS CONVERTIBLE,38,,
,JOHN COOPER WORKS COUPE,38,,
,JOHN COOPER WORKS CROSSOVER,38,,
,JOHN COOPER WORKS GP,38,,
,JOHN COOPER WORKS PACEMAN,38,,
,JOHN COOPER WORKS PACEMAN BLACK KNIGHT,38,,
,JOHN COOPER WORKS ROADSTER,38,,
,JOHN COOPER WORKS WORLD CHAMPIONSHIP 50,38,,
,K,38,,
,KISSED BY LULU GUINNESS TYPE 1,38,,
,KISSED BY LULU GUINNESS TYPE 2,38,,
,KISSED BY LULU GUINNESS TYPE 3,38,,
,KISSED BY LULU GUINNESS TYPE 4,38,,
,KISSED BY LULU GUINNESS TYPE 5,38,,
,KISSED BY LULU GUINNESS TYPE 6,38,,
,KISSED BY LULU GUINNESS TYPE 7,38,,
,M,38,,
,MINI 1ST ANNIVERSARY MODEL,38,,
,MINI 2ND ANNIVERSARY MODEL,38,,
,MINI MEETS SAKURA EDITION NIPPON COOPER,38,,
,MINI MEETS SAKURA EDITION NIPPON COOPER CLUBMAN,38,,
,MINI MEETS SAKURA EDITION NIPPON ONE,38,,
,O,38,,
,ONE,38,,
,ONE CLUBMAN,38,,
,ONE CROSSOVER,38,,
,ONE EARL GREY SPECIAL BLEND,38,,
,ONE SEVEN,38,,
,ONE VICTORIA,38,,
,S,38,,
,SAVILE ROW,38,,
,SPEED GATE,38,,
,V,38,,
,VICTORIA,38,,
,OPEL,39,,
,ASTRA,39,,
,CALIBRA,39,,
,MERVIA,39,,
,OMEGA,39,,
,SENATOR,39,,
,SIGNUM,39,,
,SPEED STER,39,,
